ConcentrationBROMP,ConfusionBROMP,BoredomBROMP,FrustrationBROMP,DelightBROMP
0.476584837,0.55293458,0.322663212,0.368606023,0.330977523
0.507516416,0.55293458,0.243766501,0.369112249,0.330977523
0.647348231,0.386214681,0.233669058,0.369346916,0.332747201
0.626257949,0.411679834,0.289893795,0.427540598,0.332747201
0.638835748,0.406544063,0.256151185,0.415207948,0.336141846
0.634454416,0.406544063,0.268036689,0.409699192,0.34070939
0.610192515,0.406544063,0.337706133,0.405334569,0.353689631
0.637183924,0.406544063,0.261670371,0.411601027,0.354827046
0.62872075,0.395033614,0.284827976,0.405999591,0.354827046
0.605660041,0.395033614,0.352591749,0.413748262,0.367120545
0.632678925,0.395033614,0.2748105,0.419952745,0.367519078
0.62037278,0.40559054,0.309542501,0.466150838,0.367519078
0.628965337,0.40559054,0.285380089,0.466294284,0.368581046
0.624513306,0.396690469,0.297996681,0.408793909,0.371202922
0.617062864,0.396690469,0.319720754,0.409460784,0.376317472
0.574331841,0.396690469,0.338052857,0.412122684,0.376317472
0.463645136,0.55293458,0.268708172,0.380974665,0.392897634
0.458675575,0.55293458,0.287881838,0.381994934,0.409728395
0.456686099,0.615939898,0.298778991,0.382964977,0.426773314
0.480519413,0.55293458,0.286048054,0.384045192,0.426773314
0.636744838,0.386214681,0.151600619,0.384059256,0.426888534
0.627124804,0.398624523,0.168569825,0.378575001,0.426888534
0.628468126,0.46543097,0.167521884,0.378926142,0.426888534
0.573376708,0.46543097,0.293242139,0.383205911,0.426888534
0.508796287,0.565763549,0.220916165,0.389459042,0.428960317
0.465728031,0.622337476,0.32682169,0.391672341,0.428960317
0.642015257,0.511920987,0.225297379,0.391703919,0.429217485
0.639016741,0.511920987,0.233647751,0.385867523,0.429217485
0.631254103,0.511920987,0.256547708,0.386405438,0.433626864
0.487740267,0.610823978,0.27810477,0.393201651,0.433626864
0.490846423,0.553762015,0.273400676,0.393727579,0.433626864
0.615972923,0.386214681,0.312588433,0.394765806,0.433626864
0.633612226,0.386214681,0.263915923,0.394785326,0.433626864
